0.5500000000E+00  0.1014351922E+01  0.4566440929E+02  0.4905277210E+02
0.5400000000E+00  0.1015749288E+01  0.4621212077E+02  0.4960873235E+02
0.5300000000E+00  0.1017107656E+01  0.4679125883E+02  0.5019739026E+02
0.5200000000E+00  0.1018428036E+01  0.4740319782E+02  0.5082020769E+02
0.5100000000E+00  0.1019711388E+01  0.4804944756E+02  0.5147878695E+02
0.5000000000E+00  0.1020958622E+01  0.4873166471E+02  0.5217488284E+02
0.4900000000E+00  0.1022170603E+01  0.4945166587E+02  0.5291041656E+02
0.4800000000E+00  0.1023348150E+01  0.5021144239E+02  0.5368749128E+02
0.4700000000E+00  0.1024492046E+01  0.5101317727E+02  0.5450841007E+02
0.4600000000E+00  0.1025603032E+01  0.5185926443E+02  0.5537569614E+02
0.4500000000E+00  0.1063431589E+01  0.1329236351E+05  0.1413776231E+05
0.4400000000E+00  0.1027729064E+01  0.5369526060E+02  0.5726070572E+02
0.4300000000E+00  0.1028745423E+01  0.5469122575E+02  0.5828480134E+02
0.4200000000E+00  0.1029731500E+01  0.5574371701E+02  0.5936807326E+02
0.4100000000E+00  0.1030687877E+01  0.5685658274E+02  0.6051456601E+02
0.4000000000E+00  0.1031615106E+01  0.5803407226E+02  0.6172874410E+02
0.3900000000E+00  0.1032513715E+01  0.5928088632E+02  0.6301554484E+02
0.3700000000E+00  0.1034227062E+01  0.6200390797E+02  0.6582950573E+02
0.3600000000E+00  0.1087289438E+01  0.6760027356E+04  0.7351225893E+04
0.3500000000E+00  0.1059444011E+01  0.1151878483E+05  0.1220510596E+05
